                                                            User  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
15                                             absahoo_umass_edu        275           79.418182       627.379722       1.0                      0.006882                      1.954931e-05
224                                           mdhassan_umass_edu          5           80.000000        12.019167       1.0                      0.368147                      2.003402e-05
273                                         nyarrabolu_umass_edu        158           77.468354       441.965556       1.0                      0.010385                      2.078130e-05
242                                        mmalekzadeh_umass_edu        123           79.349593       740.450833       1.0                      0.006232                      2.089367e-05
376                                         sunjaekwon_umass_edu         18           77.777778        22.002222       1.0                      0.210289                      2.094863e-05
410                                       vpimpalkhute_umass_edu          6           80.000000        34.588889       1.0                      0.134516                      2.106608e-05
121                                            dsaluru_umass_edu        392           80.000000       778.946111       1.0                      0.006039                      2.129698e-05
48                                         arutkovskii_umass_edu        110           80.000000       309.571944       1.0                      0.015787                      2.212727e-05
249                                            mrafiee_umass_edu         25           80.000000       191.583056       1.0                      0.025528                      2.214364e-05
292                                             pkphan_umass_edu         23           80.000000        99.031667       1.0                      0.049667                      2.226970e-05
140                                         gehaozhang_umass_edu        664           79.939759       634.654167       1.0                      0.007824                      2.248233e-05
85                                              cesteves_uri_edu        187           80.000000       701.189444       1.0                      0.007131                      2.263897e-05
55                                            asureddy_umass_edu         53           80.000000        80.190000       1.0                      0.066399                      2.410751e-05
400                                    uchenna_onuoha001_umb_edu         57           80.000000       344.136667       1.0                      0.015658                      2.439747e-05
172                                            jdsweet_umass_edu         22           78.181818        53.783333       1.0                      0.100764                      2.453725e-05
365                                           ssahibul_umass_edu         47           80.000000       223.850556       1.0                      0.024661                      2.499399e-05
405                                               vdle_umass_edu          8           80.000000        49.542222       1.0                      0.114724                      2.573372e-05
343                                       shariharasub_umass_edu          5           80.000000        68.014722       1.0                      0.084323                      2.596682e-05
429                                          ychittepu_umass_edu         72           80.000000       199.823333       1.0                      0.028732                      2.599426e-05
4                                             aaronsun_umass_edu        319           80.000000      1523.700556       1.0                      0.003859                      2.662388e-05
138                                       gakkinapalli_umass_edu        127           80.000000       296.095000       1.0                      0.019938                      2.672915e-05
437                                           ypatil1_umassd_edu         94           80.000000       547.747778       1.0                      0.010882                      2.698863e-05
381                                         svdeshmukh_umass_edu        973           80.000000       670.985833       1.0                      0.008980                      2.728232e-05
179                                         jjeyasingh_umass_edu         42           77.142857       204.785278       1.0                      0.030902                      2.865191e-05
241                                          mmaharjan_umass_edu         61           80.000000       280.655833       1.0                      0.022932                      2.913943e-05
25                                          akaruvally_umass_edu        146           80.000000       637.052500       1.0                      0.010341                      2.982673e-05
209                                          labarrett_umass_edu         12           50.000000        63.985556       1.0                      0.105400                      3.053476e-05
184                                          joohwanko_umass_edu        407           79.508600      1024.640556       1.0                      0.007035                      3.263650e-05
366                                            ssairaj_umass_edu          8           80.000000        20.924722       1.0                      0.351224                      3.327482e-05
263                                              nigel_umass_edu         45           80.000000       186.993611       1.0                      0.040638                      3.440604e-05
152                                           hojaeson_umass_edu         19           77.894737        46.486944       1.0                      0.165864                      3.491045e-05
126                                        ecalleortiz_umass_edu         22           80.000000       140.397222       1.0                      0.055017                      3.497278e-05
139                                            gawronski_uri_edu         49           80.000000        59.168611       1.0                      0.133141                      3.566759e-05
84                                           cecile_cres_uri_edu       1309           79.572193      4796.013056       1.0                      0.001651                      3.586060e-05
192                                           junyicao_umass_edu         66           80.000000       428.281944       1.0                      0.018547                      3.596399e-05
156                                           hshastri_umass_edu         43           76.279070        91.751389       1.0                      0.088983                      3.696527e-05
397                                         tramnguyen_umass_edu         92           79.565217       597.801389       1.0                      0.013936                      3.771860e-05
170                                              jchou_umass_edu        112           79.285714       246.971111       1.0                      0.034758                      3.886584e-05
149                                             hjeong_umass_edu         41           80.000000       324.834444       1.0                      0.026578                      3.908851e-05
158                                              hzeng_umass_edu         94           80.000000       479.254722       1.0                      0.018044                      3.915332e-05
57                                        atharvashrik_umass_edu         29           77.241379        56.582500       1.0                      0.153430                      3.930642e-05
360                                       sphurtiagarw_umass_edu         35           80.000000       123.044722       1.0                      0.071751                      3.997284e-05
191                                           junyanli_umass_edu         69           80.000000       347.549722       1.0                      0.025442                      4.003473e-05
231                                        mghantasala_umass_edu          8           75.000000        16.883611       1.0                      0.524340                      4.008212e-05
304                                           psastry_umassd_edu         20           80.000000       125.716667       1.0                      0.070842                      4.032316e-05
171                                             jdomke_umass_edu          5           80.000000        19.241944       1.0                      0.467695                      4.074587e-05
254                                              mssun_umass_edu         76           80.000000       253.670278       1.0                      0.036792                      4.225610e-05
63                                              azheng_umass_edu          6           80.000000        10.304722       1.0                      0.910064                      4.246000e-05
207                                        kwhitecross_umass_edu         83           80.000000       633.215556       1.0                      0.014813                      4.246979e-05
1                                              aafzali_umass_edu         28           80.000000       168.539167       1.0                      0.056115                      4.282062e-05
97                                            dagarwal_umass_edu         74           78.378378       369.583333       1.0                      0.026589                      4.449270e-05
104                       devasaikumar_bheesetti_student_uml_edu         74           76.756757       362.745000       1.0                      0.027230                      4.472273e-05
109                                       dhruveshpate_umass_edu         81           78.518519       262.449167       1.0                      0.038945                      4.627787e-05
361                                           spillai_umassd_edu         92           80.000000       611.372500       1.0                      0.016835                      4.660112e-05
186                                               jroh_umass_edu       1212           79.900990      2962.033056       1.0                      0.003483                      4.670787e-05
445                                          zarifalam_umass_edu        202           79.603960       603.301944       1.0                      0.017297                      4.724672e-05
27                                         allen_yang001_umb_edu        165           80.000000       184.329722       1.0                      0.056747                      4.735983e-05
118                                           dpadalia_umass_edu         21           80.000000        54.501944       1.0                      0.192840                      4.758618e-05
113                                              dlacy_umass_edu        485           79.917526      3517.215556       1.0                      0.003021                      4.810729e-05
240                                        mmaddipatla_umass_edu         29           78.620690       126.217778       1.0                      0.090003                      5.143364e-05
38                                          ankitkumar_umass_edu          8           80.000000        32.498889       1.0                      0.353441                      5.200653e-05
82                                               cburt_umass_edu          8           75.000000        30.190556       1.0                      0.384233                      5.252154e-05
239                                             mkeya_umassd_edu         44           80.000000       320.417500       1.0                      0.036314                      5.268140e-05
70                                           bfrancois_umass_edu         37           77.837838       208.517222       1.0                      0.055951                      5.282244e-05
372                                       sthiagarajam_umass_edu         26           80.000000        63.793611       1.0                      0.187850                      5.425757e-05
454                                        zunzhezhang_umass_edu         73           78.904110       131.633056       1.0                      0.093581                      5.577335e-05
442                                        yuncongyang_umass_edu         71           80.000000       213.612222       1.0                      0.057733                      5.583677e-05
87                                           changzeng_umass_edu        120           80.000000       847.177778       1.0                      0.014611                      5.604183e-05
294                                           pmangina_umass_edu          8           80.000000        27.210833       1.0                      0.465240                      5.731792e-05
407                                              vgudi_umass_edu         10           80.000000        67.037500       1.0                      0.190098                      5.769888e-05
399                                          tungichen_umass_edu         12           76.666667        29.240278       1.0                      0.442756                      5.861619e-05
111                                       dhruvmaheshw_umass_edu         49           80.000000       156.100556       1.0                      0.084186                      5.949974e-05
93                                            cmummidi_umass_edu         39           78.974359       102.563889       1.0                      0.128707                      5.976787e-05
235                                           mingzhel_umass_edu        382           80.000000      1625.518333       1.0                      0.008191                      6.028411e-05
79                                             bverma_umassd_edu         82           80.000000       626.076111       1.0                      0.021288                      6.034335e-05
348                                          skuthpadi_umass_edu         24           80.000000       128.526944       1.0                      0.103817                      6.041343e-05
346                                             sjella_umass_edu          7           80.000000         8.340833       1.0                      1.611863                      6.087087e-05
217                          madhavisuyog_pagare_student_uml_edu         66           78.787879       475.895000       1.0                      0.028409                      6.121169e-05
200                                            kdasoju_umass_edu         48           80.000000       146.954444       1.0                      0.092296                      6.140987e-05
90                                           chunrulin_umass_edu         31           78.709677       180.277222       1.0                      0.075377                      6.152517e-05
337                                        seoyunjeong_umass_edu         34           80.000000       105.104167       1.0                      0.129396                      6.157636e-05
290                                            phuocdo_umass_edu         18           80.000000        31.987500       1.0                      0.427139                      6.186162e-05
417                                         wschwarzer_umass_edu       3864           80.000000      4593.678333       1.0                      0.003026                      6.293652e-05
220                                              mbumb_umass_edu          6           80.000000        40.698611       1.0                      0.342203                      6.305727e-05
162                                         ishrat_jahan_uri_edu        108           80.000000      2286.392500       1.0                      0.006131                      6.346734e-05
340                                          sgovindan_umass_edu         17           68.235294        50.534167       1.0                      0.278020                      6.361121e-05
